id_camara,longitud,latitud
1301,-3.69051645,40.42566934
1302,-3.69311380,40.41897549
1303,-3.69383605,40.41518763
1304,-3.69215886,40.40918893
1305,-3.69310931,40.40765790
1306,-3.70256811,40.40502926
1307,-3.71403239,40.41023337
1308,-3.71298613,40.41933570
1309,-3.71308334,40.41936176
1310,-3.71306607,40.41767984
1311,-3.71325797,40.41755618
1312,-3.72085482,40.41396583
1313,-3.71295147,40.42200013
1314,-3.70543074,40.42016813
1315,-3.69975869,40.41974123
1316,-3.69955581,40.41768717
1317,-3.69666543,40.41889025
1318,-3.70024474,40.41665272
1319,-3.71184263,40.40702836
1320,-3.70224251,40.42888945
1321,-3.69554323,40.42758898
1322,-3.69156977,40.42218535
1323,-3.69340359,40.41290472
1324,-3.69311403,40.41896235
1330,-3.71141188,40.40728220
1331,-3.69199495,40.40882474
1332,-3.69341037,40.40750635
1333,-3.70581751,40.42959840
1334,-3.71345017,40.41494783
1335,-3.70792579,40.42139547
2301,-3.69357106,40.40303687
2302,-3.69365130,40.40290386
2303,-3.69474455,40.39446058
2304,-3.69496549,40.39113628
2305,-3.69923152,40.40092805
2306,-3.68023548,40.39562402
2307,-3.70228360,40.39775735
2308,-3.67672678,40.39242598
2309,-3.68832412,40.38244534
2310,-3.71447723,40.40062263
2311,-3.68627405,40.38065209
2312,-3.68996926,40.38678954
3301,-3.68849304,40.40667125
3302,-3.67868085,40.40768964
3303,-3.67023732,40.40665479
3304,-3.66979690,40.41157668
3305,-3.66566326,40.40620505
3306,-3.66626907,40.40597571
3307,-3.66630217,40.40592602
3308,-3.67615805,40.42152141
3309,-3.68066967,40.40423687
3310,-3.67647235,40.41158015
4301,-3.65870299,40.41864837
4302,-3.66416987,40.42023180
4303,-3.66417851,40.42021622
4304,-3.66871138,40.42452265
4305,-3.66244798,40.43112823
4306,-3.66891398,40.42801364
4307,-3.67587620,40.42489809
4308,-3.68441648,40.42088692
4309,-3.68622697,40.43794002
4310,-3.68682184,40.43311084
4311,-3.68295412,40.43775368
4312,-3.67736196,40.43732836
4313,-3.67979697,40.42951951
4314,-3.68395132,40.42522547
4315,-3.68421152,40.42505985
4316,-3.67160992,40.43180374
4317,-3.67341671,40.43904712
4318,-3.68011545,40.42185418
4319,-3.66094268,40.43816380
4320,-3.67489615,40.43493053
4321,-3.68376770,40.43017323
4322,-3.68870490,40.42060335
5004,-3.63208679,40.43426486
5051,-3.66630041,40.44890662
5301,-3.67211256,40.47104433
5302,-3.66490162,40.46024396
5303,-3.66773734,40.45892302
5304,-3.67666987,40.45859552
