id,longitud,latitud
1001,-3.74078584,40.40972900
1002,-3.74375963,40.40803146
1003,-3.74683428,40.40682602
1006,-3.73632360,40.41189575
1009,-3.72490931,40.41623306
1010,-3.72504330,40.41631317
1011,-3.72307563,40.41823578
1012,-3.72209692,40.41986084
1013,-3.72253203,40.41997147
1014,-3.72267723,40.41989136
1015,-3.72184277,40.42048645
1016,-3.72192860,40.42044449
1017,-3.72549081,40.42226791
1018,-3.72476125,40.42181396
1019,-3.69670892,40.38734436
1020,-3.69807816,40.38948059
1021,-3.70272684,40.39348221
1022,-3.70324683,40.39363480
1023,-3.70587587,40.39439011
1024,-3.70454550,40.39416885
1025,-3.70233393,40.39503479
1026,-3.70244932,40.39498901
1027,-3.70336795,40.39502716
1028,-3.70541811,40.39652252
1029,-3.70696473,40.39630890
1030,-3.70625734,40.39546585
1031,-3.71224236,40.40015030
1032,-3.71049237,40.39799881
1033,-3.71455097,40.39892197
1034,-3.71777177,40.39924622
1035,-3.71303916,40.39735031
1036,-3.71302485,40.39742661
1037,-3.71300507,40.39752197
1038,-3.72135377,40.40957260
1039,-3.72305036,40.40311813
1040,-3.72337937,40.40428162
1041,-3.72280836,40.41055298
1042,-3.72290897,40.41793442
1043,-3.72076201,40.41833115
1044,-3.72075725,40.41912460
1045,-3.72104764,40.41916275
1046,-3.72088337,40.41913605
1047,-3.72085118,40.41955185
1048,-3.66411090,40.40921021
1049,-3.66635752,40.40382385
1050,-3.66575265,40.40371704
1052,-3.66658878,40.40367508
3395,-3.70956969,40.44283676
3396,-3.71635985,40.43923569
3397,-3.71396613,40.43902206
3398,-3.66713190,40.44435883
3399,-3.66710639,40.44494247
3400,-3.66828561,40.44542313
3401,-3.70654106,40.41388321
3402,-3.67834973,40.47355652
3403,-3.76378870,40.39796066
3404,-3.75098729,40.37379837
3405,-3.74108529,40.37344742
3406,-3.70716143,40.37915421
3407,-3.69708848,40.43117905
3408,-3.71162248,40.47620773
3409,-3.75410414,40.40149689
3410,-3.72412610,40.41305161
3411,-3.70740509,40.44611740
3412,-3.70832229,40.44851685
3413,-3.70947695,40.45034409
3414,-3.65988684,40.43856430
3415,-3.66115165,40.43753815
3416,-3.66103625,40.43705368
3417,-3.71642065,40.40547180
3418,-3.71515512,40.40507507
3419,-3.77756500,40.44960785
3420,-3.69631577,40.36825943
3421,-3.69058585,40.46569443
3423,-3.69008684,40.46278763
3424,-3.70276451,40.45500565
3425,-3.70302796,40.45351028
3426,-3.70314693,40.45273972
3427,-3.70331073,40.45166397
3428,-3.64108849,40.38644791
3430,-3.66487741,40.46434021
3431,-3.61247373,40.42115402
3432,-3.66009378,40.50078201
3433,-3.67253876,40.40360641
3434,-3.68308401,40.43802261
3435,-3.68279743,40.43759155
3436,-3.67724872,40.39087677
3437,-3.72455692,40.42411041
3438,-3.72545218,40.42579651
3439,-3.70894480,40.44787598
3440,-3.71832609,40.45200348
3442,-3.66714787,40.43471146
3443,-3.66116714,40.43972015
3444,-3.71848083,40.41042328
3445,-3.71388292,40.36471939
3446,-3.71557069,40.36880112
3447,-3.72307539,40.39400864
3448,-3.68652463,40.45298386
3449,-3.69093609,40.46673203
3452,-3.67699170,40.45751953
3453,-3.69198799,40.46542358
3454,-3.70164013,40.45340347
3455,-3.70361495,40.44910812
3456,-3.70396471,40.45188522
3457,-3.66812539,40.49393845
3458,-3.66754341,40.49696350
3459,-3.66832089,40.49554443
3460,-3.66736221,40.45303726
3461,-3.66842675,40.45239258
3462,-3.67676353,40.41037369
3463,-3.68997788,40.40791702
3464,-3.69008708,40.40783691
3465,-3.68884587,40.41906357
3466,-3.69788933,40.40250778
3467,-3.69856930,40.40207291
3468,-3.71588802,40.44044495
3469,-3.71389985,40.44168472
3470,-3.73287582,40.43132019
3471,-3.73170519,40.43394089
3472,-3.71882558,40.46128845
3473,-3.71858215,40.46257782
3474,-3.67283654,40.44504166
3475,-3.71291399,40.40847397
3476,-3.71107006,40.40798569
3477,-3.71042562,40.40650558
3478,-3.71253061,40.40784836
3479,-3.71420288,40.38496399
3480,-3.71400499,40.37368393
3481,-3.74024177,40.38617325
3482,-3.62359571,40.38401794
3483,-3.71254253,40.33371735
3484,-3.71233177,40.33468246
3485,-3.70164919,40.47994995
3486,-3.67161679,40.46588135
3487,-3.64912248,40.42828369
3488,-3.65942049,40.42175674
3489,-3.65950680,40.42160797
3490,-3.66124368,40.41422272
3491,-3.66283417,40.41122818
3492,-3.66319799,40.41118240
3493,-3.66308260,40.41114044
3494,-3.70247221,40.48287582
3495,-3.65457439,40.41754532
3496,-3.74485826,40.45549774
3497,-3.68353248,40.43877029
3498,-3.71938133,40.44671631
3499,-3.71884584,40.44606018
3500,-3.71745110,40.44748688
3501,-3.67049479,40.43284988
3502,-3.67048693,40.43215942
3503,-3.67051935,40.43096542
3504,-3.66900015,40.43207932
3505,-3.71393490,40.40202332
3506,-3.71248746,40.40168381
3507,-3.71255636,40.40036392
3508,-3.61855364,40.45648575
3509,-3.67185950,40.50874710
3510,-3.70349860,40.48239517
3511,-3.71089387,40.43977356
3512,-3.73286366,40.43601990
3513,-3.70691490,40.44708633
3514,-3.71713471,40.45127487
3515,-3.71132684,40.39873505
3516,-3.71145105,40.39873123
3517,-3.70049310,40.38731384
3518,-3.67907476,40.46431732
3519,-3.65029860,40.48682022
3520,-3.65206504,40.48615646
3521,-3.67077255,40.49229431
3522,-3.67800093,40.39349365
3523,-3.68886876,40.41572952
3524,-3.70718169,40.45663834
3525,-3.67088461,40.43711853
3526,-3.67049074,40.43682480
3527,-3.69817615,40.36537933
3528,-3.63540840,40.44506836
3529,-3.61313295,40.42053223
3530,-3.66896129,40.50135803
3531,-3.69251561,40.38377762
3532,-3.73079014,40.42458344
3533,-3.73830676,40.43417740
3536,-3.65875435,40.44169235
3538,-3.66033316,40.44632721
3539,-3.65906215,40.44415283
3542,-3.73229384,40.41348267
3544,-3.73258758,40.41346741
3545,-3.74109411,40.40969849
3546,-3.74099302,40.40989304
3551,-3.71542168,40.39293289
3553,-3.72974825,40.40839386
3554,-3.71162510,40.47071075
3555,-3.71185732,40.47060394
3556,-3.69530129,40.38079834
3557,-3.60760808,40.43457031
3558,-3.74652338,40.46142578
3559,-3.74668789,40.46135712
3560,-3.71594572,40.47917938
3561,-3.65459156,40.41747284
3562,-3.68859458,40.43252182
3563,-3.66582251,40.41849136
3564,-3.66231132,40.42139053
3565,-3.71937346,40.42827606
3566,-3.73977160,40.39382553
3567,-3.74037719,40.39266968
3568,-3.74154162,40.39247131
3569,-3.69192052,40.36457825
3570,-3.77545857,40.45217133
3571,-3.72626877,40.37381363
3572,-3.74010849,40.38516998
3573,-3.72597575,40.38589478
3574,-3.72604775,40.38555145
3576,-3.73626995,40.38957214
3577,-3.77580047,40.39933014
3578,-3.68793082,40.42502594
3579,-3.67504787,40.43333817
3580,-3.67337656,40.45844269
3581,-3.67430162,40.45912933
3582,-3.68806124,40.38562775
3583,-3.70369697,40.44905090
3584,-3.70381165,40.44829559
3585,-3.69540763,40.40198517
3586,-3.69603086,40.40196991
3587,-3.66626787,40.39678955
3588,-3.71239710,40.46953201
3589,-3.71278429,40.46927261
3590,-3.71130896,40.33638382
3591,-3.68581533,40.46978760
3592,-3.68587565,40.46984482
3593,-3.63953876,40.43721390
3594,-3.63672113,40.43819809
3595,-3.71417189,40.45606613
3596,-3.70298886,40.47616959
3597,-3.74576640,40.47451019
3598,-3.72898889,40.47287750
3599,-3.72251344,40.47523117
3600,-3.66417837,40.40622330
3601,-3.66886806,40.41136932
3602,-3.66478872,40.41104126
3603,-3.66950846,40.41612244
3604,-3.67754745,40.44879532
3605,-3.66659069,40.45489120
3606,-3.68091941,40.45250702
3607,-3.67331386,40.43334961
3608,-3.67156959,40.43321609
3609,-3.67677617,40.41243362
3610,-3.67672777,40.41244507
3611,-3.66025138,40.41756821
3612,-3.67523098,40.43090057
3613,-3.67535400,40.42879486
3614,-3.69986582,40.39462280
3615,-3.69806170,40.39778900
3616,-3.66993594,40.42962646
3618,-3.71446633,40.41188812
3619,-3.71316075,40.43518829
3620,-3.70729089,40.42560196
3621,-3.71433663,40.42974472
3622,-3.69413424,40.43816376
3623,-3.70616031,40.34855652
3624,-3.70700359,40.34594727
3625,-3.77812672,40.45993805
3626,-3.77904701,40.45880890
3627,-3.77908111,40.45872879
3628,-3.74410224,40.38629150
3629,-3.74417710,40.38747025
3630,-3.69961667,40.38271332
3631,-3.69908690,40.38316727
3632,-3.69990301,40.38412857
3633,-3.71633697,40.38547516
3634,-3.71668696,40.38772583
3635,-3.71674275,40.38524628
3636,-3.76365805,40.38441467
3637,-3.76528096,40.39889908
3638,-3.71309996,40.45322037
3639,-3.70930195,40.46065140
3640,-3.77673531,40.39932251
3641,-3.77473021,40.39743423
3642,-3.67598391,40.45711136
3643,-3.72480512,40.47935104
3644,-3.65134501,40.43264771
3645,-3.64967108,40.43293762
3646,-3.62488818,40.41688156
3647,-3.63236046,40.42582703
3648,-3.64543557,40.42601013
3649,-3.64341760,40.42877579
3650,-3.71776843,40.42033005
3651,-3.72065639,40.41849136
3652,-3.71299863,40.42219925
3653,-3.68891978,40.41336060
3654,-3.68872237,40.41185379
3655,-3.72345686,40.38767242
3656,-3.61885023,40.45871353
3657,-3.61591983,40.45755005
3658,-3.62616277,40.46255875
3659,-3.65342402,40.46778870
3660,-3.64795256,40.47354507
3661,-3.61136675,40.42249680
3662,-3.67387295,40.46047974
3663,-3.69712496,40.46281433
3664,-3.62165856,40.44235611
3665,-3.61845899,40.44316483
3666,-3.62132478,40.43785095
3667,-3.69882941,40.45687103
3668,-3.69676375,40.45647049
3669,-3.70726418,40.40690231
3670,-3.70834947,40.40558624
3671,-3.69043636,40.41981888
3672,-3.70713568,40.42107010
3674,-3.69209719,40.43294907
3675,-3.73073196,40.42980576
3676,-3.73141122,40.43069077
3677,-3.70364380,40.47943115
3678,-3.72057462,40.47443008
3679,-3.61335826,40.44588470
3680,-3.75441790,40.48838043
3681,-3.58394003,40.44533920
3682,-3.70142198,40.38138199
3683,-3.69011807,40.41395187
3684,-3.74139476,40.38331985
3685,-3.73097444,40.38826752
3686,-3.73262072,40.38887405
3687,-3.72974682,40.38698196
3688,-3.74143362,40.36861801
3689,-3.66761875,40.44426346
3690,-3.67269564,40.44888687
3691,-3.69320655,40.41206360
3692,-3.69705868,40.40501785
3693,-3.70417285,40.43970490
3694,-3.71169806,40.43415070
3695,-3.60505557,40.40402222
3696,-3.60922956,40.40562820
3697,-3.68611741,40.42058182
3698,-3.62199759,40.43371582
3699,-3.66083860,40.50233841
3700,-3.66886282,40.50675583
3702,-3.72945571,40.41334915
3703,-3.69464159,40.37298965
3704,-3.69425869,40.36916733
3705,-3.70993805,40.39070892
3706,-3.70004010,40.49385452
3707,-3.71251392,40.41519928
3708,-3.71597123,40.45844650
3709,-3.61520767,40.44467545
3710,-3.61350036,40.44589233
3711,-3.62370038,40.43700409
3712,-3.72074723,40.48123550
3713,-3.71434784,40.48351669
3714,-3.70974684,40.48533630
3715,-3.71940112,40.43790436
3716,-3.71968913,40.43788910
3717,-3.71793795,40.43723297
3718,-3.69061279,40.40789032
3719,-3.69444680,40.40640640
3720,-3.68415737,40.42409134
3721,-3.68205309,40.44180298
3722,-3.69906592,40.40538788
3723,-3.68527842,40.50804901
3724,-3.66553044,40.41825485
3725,-3.66626501,40.41792679
3726,-3.66885924,40.41143417
3727,-3.69837928,40.39535522
3728,-3.69667125,40.39394379
3729,-3.69404626,40.40304565
3730,-3.70201898,40.42002106
3731,-3.70317960,40.41944885
3732,-3.71292329,40.42353439
3733,-3.70947313,40.45112991
3734,-3.70805717,40.46093750
3735,-3.70850348,40.46263504
3737,-3.69751048,40.47483444
3738,-3.69548988,40.46944046
3739,-3.67693233,40.44215393
3740,-3.67623067,40.44262695
3741,-3.67522144,40.44332886
3742,-3.71655035,40.38634872
3743,-3.69745970,40.45253754
3744,-3.67227435,40.45849991
3745,-3.71753359,40.43246460
3746,-3.71850610,40.43190002
3747,-3.71592593,40.43188858
3748,-3.69865751,40.43170547
3749,-3.75868416,40.37209702
3750,-3.77272463,40.37792587
3751,-3.69739652,40.46020889
3752,-3.61648607,40.40876770
3753,-3.67267466,40.42623138
3754,-3.64772034,40.38533783
3755,-3.66259623,40.38355255
3756,-3.62466383,40.44155121
3757,-3.68337965,40.43419266
3758,-3.68981314,40.41735077
3759,-3.68891501,40.41588593
3760,-3.60739994,40.43576050
3761,-3.69035339,40.38124847
3762,-3.69028473,40.38113022
3763,-3.69472194,40.37298203
3764,-3.67633486,40.41716766
3765,-3.69668317,40.41870117
3767,-3.70430374,40.45675278
3768,-3.75165963,40.37337875
3769,-3.73226213,40.37760925
3770,-3.76574922,40.39516449
3771,-3.76631618,40.38952255
3772,-3.61728716,40.37960434
3773,-3.67317772,40.45697403
3774,-3.66448379,40.38857651
3775,-3.63928175,40.43741608
3776,-3.64105034,40.43648911
3777,-3.66330338,40.46764755
3778,-3.66565299,40.47476578
3780,-3.64964700,40.40981674
3781,-3.65411830,40.40410995
3782,-3.60962534,40.40852356
3783,-3.60996222,40.41080856
3784,-3.62389302,40.45649719
3785,-3.62476873,40.45762253
3786,-3.65388536,40.44237518
3787,-3.68588495,40.49113083
3788,-3.68569851,40.50165176
3789,-3.69722915,40.50228119
3790,-3.69454145,40.45755386
3791,-3.63994789,40.44052124
3792,-3.65291953,40.44213104
3793,-3.65488839,40.43561172
3794,-3.66521335,40.50567245
3795,-3.66472244,40.50480270
3796,-3.66782618,40.49469757
3797,-3.67164445,40.49169922
3798,-3.68859243,40.42103195
3799,-3.66081595,40.43108749
3800,-3.66093802,40.43110657
3801,-3.72237349,40.47515488
3802,-3.69453859,40.37024307
3803,-3.69481421,40.37237930
3804,-3.64077139,40.39306641
3805,-3.64002895,40.39442062
3806,-3.58691669,40.44485855
3807,-3.70319176,40.42920303
3808,-3.63346696,40.40013885
3809,-3.63108540,40.39960861
3810,-3.62771893,40.41647720
3811,-3.62930274,40.41452026
3812,-3.63305068,40.40783691
3813,-3.74208283,40.47571945
3814,-3.75423479,40.48834991
3815,-3.66106749,40.41411209
3816,-3.66537285,40.40655518
3817,-3.66129518,40.44336319
3818,-3.65928340,40.44088364
