id_cluster,longitud,latitud
0,-3.70385584,40.48007088
1,-3.72156771,40.41308753
2,-3.63783194,40.43630745
3,-3.69264294,40.36542323
4,-3.76130664,40.38533512
5,-3.66833680,40.39802199
6,-3.67349507,40.48358722
7,-3.71121842,40.44822605
8,-3.67713189,40.45110996
9,-3.77784742,40.45225518
10,-3.62177933,40.39548777
11,-3.69613498,40.41195136
12,-3.71476697,40.38578603
13,-3.59799247,40.45745955
14,-3.66540149,40.41950516
15,-3.75558826,40.37109312
16,-3.61145131,40.42256043
17,-3.63980321,40.46621652
18,-3.73894367,40.47598863
19,-3.69794687,40.39885206
20,-3.70523305,40.34649095
21,-3.69432818,40.45249199
22,-3.69731191,40.43436029
23,-3.74025416,40.38645444
24,-3.65739991,40.45717406
25,-3.66790009,40.50916878
26,-3.70601400,40.50300961
27,-3.73053649,40.43715913
28,-3.66185680,40.39223753
29,-3.60839229,40.36936299
30,-3.83376531,40.47390747
31,-3.68732468,40.47509438
32,-3.61726734,40.45930809
33,-3.65541156,40.44179243
34,-3.68694243,40.50823751
35,-3.63010373,40.40845034
36,-3.66987054,40.43251159
37,-3.69028982,40.38584584
38,-3.71617687,40.48176049
39,-3.68381971,40.42627025
40,-3.74178688,40.39602207
41,-3.64086325,40.39452654
42,-3.65524477,40.49487241
43,-3.71350763,40.39863263
44,-3.61235286,40.43530574
45,-3.70751578,40.42207239
46,-3.71375535,40.43075665
47,-3.66692426,40.46744855
48,-3.61339832,40.40785454
49,-3.65416292,40.42355209
50,-3.62873345,40.42542778
51,-3.68976716,40.45929075
52,-3.72018085,40.49549393
53,-3.78536773,40.37942327
54,-3.76500905,40.39845275
55,-3.70790720,40.46471960
56,-3.72941535,40.45788689
57,-3.67197244,40.41158186
58,-3.65389587,40.37665033
59,-3.64888745,40.47528975
60,-3.58204820,40.47355908
61,-3.73540886,40.37561055
62,-3.71945282,40.37133413
63,-3.58600091,40.44458291
64,-3.65350229,40.41221997
65,-3.77534245,40.36459773
66,-3.67592937,40.34928396
67,-3.67609917,40.39198955
68,-3.78653784,40.45943319
69,-3.72432237,40.40399717
70,-3.68862779,40.49303925
71,-3.66774234,40.49507478
72,-3.67832572,40.44017177
73,-3.69310881,40.44370311
74,-3.65513778,40.43334492
75,-3.63341901,40.38445735
76,-3.62214570,40.43698860
77,-3.64751093,40.43485141
78,-3.67802358,40.46575928
79,-3.73885868,40.40937899
80,-3.67446263,40.45835026
81,-3.66489470,40.45184988
82,-3.73114746,40.38858078
83,-3.71446278,40.33849985
84,-3.75712953,40.39634680
85,-3.69269079,40.40526256
86,-3.71855484,40.43675059
87,-3.66897574,40.44446738
88,-3.71990010,40.47059728
89,-3.74082612,40.44739025
90,-3.61232424,40.44680229
91,-3.74258266,40.36852424
92,-3.62535400,40.44809386
93,-3.72943523,40.41260879
94,-3.72121568,40.41957616
95,-3.69103264,40.41710696
96,-3.68269773,40.39729017
97,-3.59619221,40.40349776
98,-3.66596476,40.47562251
99,-3.74842339,40.47201374
