index,cluster,num_cars_min,num_cars_max,num_cars_mean,num_cars_median,num_cars_min_woo,num_cars_max_woo,num_cars_mean_woo,num_cars_median_woo,int_min,int_max,int_mean,int_median,ocu_min,ocu_max,ocu_mean,ocu_median,car_min,car_max,car_mean,car_median,int_min_woo,int_max_woo,int_mean_woo,int_median_woo,ocu_min_woo,ocu_max_woo,ocu_mean_woo,ocu_median_woo,car_min_woo,car_max_woo,car_mean_woo,car_median_woo,ocu_mean_25,ocu_mean_50,ocu_mean_75,dia_semana,dia_mes,festivo,fecha,eve_3h,eve_3h_g,eve_2h,eve_2h_g,eve_1h,eve_1h_g,vmax,vv,dv,dmax,ta,tamin,tamax,prec,gran_evento
1,1,0,8,2.2857142857142856,1,1,6,3.4285714285714284,4,0,1020,315.9555555555556,260,0,28,4.8,3,0,39,18.844444444444445,17,0,800,286.93023255813955,240,0,10,3.761904761904762,3,0,33,17.523809523809526,17,5.916666666666667,7.035714285714286,10.923076923076923,1,22,0,"2019-10-22 00:00:00",0,0,0,0,0,0,6.1,2.7,42,45,9.2,9.2,9.5,0,0
1,1,0,5,1.5714285714285714,1,1,4,2,1.5,0,840,258.3333333333333,190,0,83,5.020833333333333,2,0,32,15.875,16.5,0,660,224,180,0,11,2.8444444444444446,2,0,30,15.173913043478262,15,6.513513513513513,7,14.076923076923077,1,22,0,"2019-10-22 00:15:00",0,0,0,0,0,0,6.1,2.7,42,45,9.2,9.2,9.5,0,0
1,1,0,7,1.7142857142857142,0,1,5,3.4,5,0,700,254.14583333333334,200,0,32,3.8541666666666665,3,0,47,15.875,15,0,620,226.2,180,0,10,3,3,0,31,14.311111111111112,14,5,6.384615384615385,9.071428571428571,1,22,0,"2019-10-22 00:30:00",0,0,0,0,0,0,6.1,2.7,42,45,9.2,9.2,9.5,0,0
1,1,0,6,2.2142857142857144,1.5,1,5,2.7142857142857144,3,0,1320,273.6170212765957,180,0,17,3.702127659574468,3,0,46,15.51063829787234,15,0,620,229.0909090909091,180,0,8,2.8636363636363638,3,0,30,14.022727272727273,14.5,3.702127659574468,6.037037037037037,8.5,1,22,0,"2019-10-22 00:45:00",0,0,0,0,0,0,6.1,2.7,42,45,9.2,9.2,9.5,0,0
1,1,0,7,1.7857142857142858,0.5,1,6,3,3,0,620,214.58333333333334,120,0,9,2.5833333333333335,2,0,29,13.020833333333334,13,0,600,196.95652173913044,120,0,6,2.3260869565217392,2,0,26,12,13,2.5833333333333335,3.78125,5.6923076923076925,1,22,0,"2019-10-22 01:00:00",0,0,0,0,0,0,6.2,2.7,42,54,8.8,8.6,9.2,0,0
1,1,0,7,1.7142857142857142,0.5,1,5,2.8333333333333335,2.5,0,760,210.63829787234042,120,0,21,2.8297872340425534,2,0,35,12.808510638297872,10,0,540,187.55555555555554,80,0,7,2.1555555555555554,2,0,29,11.933333333333334,10,2.8297872340425534,4.7407407407407405,7.5,1,22,0,"2019-10-22 01:15:00",0,0,0,0,0,0,6.2,2.7,42,54,8.8,8.6,9.2,0,0
1,1,0,7,1.0714285714285714,0,1,4,2,1.5,0,680,198.63636363636363,140,0,7,2.3863636363636362,2,0,28,11.795454545454545,10.5,0,520,177.14285714285714,140,0,6,2.048780487804878,2,0,26,10.658536585365853,10,2.3863636363636362,3.923076923076923,5.636363636363637,1,22,0,"2019-10-22 01:30:00",0,0,0,0,0,0,6.2,2.7,42,54,8.8,8.6,9.2,0,0
1,1,0,9,1.4285714285714286,1,1,4,1.5714285714285714,1,0,620,196.25,180,0,8,2.34375,2,0,24,11.78125,12,0,460,172.66666666666666,180,0,6,2,1.5,0,23,10.966666666666667,11.5,2.34375,4.176470588235294,5.444444444444445,1,22,0,"2019-10-22 01:45:00",0,0,0,0,0,0,6.2,2.7,42,54,8.8,8.6,9.2,0,0
1,1,0,4,1.5,2,1,3,1.8888888888888888,2,0,600,168.93617021276594,140,0,6,1.8936170212765957,2,0,23,10.063829787234043,9,0,460,142.72727272727272,130,0,5,1.711111111111111,2,0,21,9.511111111111111,9,1.8936170212765957,3.269230769230769,3.736842105263158,1,22,0,"2019-10-22 02:00:00",0,0,0,0,0,0,6.7,3.2,34,34,8.7,8.6,8.8,0,0
1,1,0,6,1.5,1,1,3,1.6666666666666667,2,0,420,156.66666666666666,120,0,8,1.9166666666666667,1.5,0,19,9.916666666666666,8.5,0,360,140,120,0,6,1.673913043478261,1,0,17,9.355555555555556,8,1.9166666666666667,3.4583333333333335,4.5,1,22,0,"2019-10-22 02:15:00",0,0,0,0,0,0,6.7,3.2,34,34,8.7,8.6,8.8,0,0
1,1,0,8,1.9285714285714286,1,1,5,2.375,2.5,0,480,153.91304347826087,160,0,12,2.152173913043478,2,0,42,10.73913043478261,10,0,340,141.8181818181818,150,0,7,1.9333333333333333,2,0,21,9.348837209302326,8,2.152173913043478,3.576923076923077,5.416666666666667,1,22,0,"2019-10-22 02:30:00",0,0,0,0,0,0,6.7,3.2,34,34,8.7,8.6,8.8,0,0
1,1,0,5,1.7142857142857142,1,1,4,2.111111111111111,2,0,499,149.3404255319149,120,0,7,2.0851063829787235,1,0,22,9.361702127659575,8,0,380,126.81818181818181,120,0,6,1.75,1,0,21,8.5,8,2.0851063829787235,3.161290322580645,5.333333333333333,1,22,0,"2019-10-22 02:45:00",0,0,0,0,0,0,6.7,3.2,34,34,8.7,8.6,8.8,0,0
1,1,0,7,1.6428571428571428,0.5,1,4,2.6666666666666665,3,0,540,132.3404255319149,100,0,6,1.5106382978723405,1,0,21,7.76595744680851,7,0,320,109.54545454545455,90,0,5,1.4130434782608696,1,0,16,6.9772727272727275,7,1.5106382978723405,2.6296296296296298,3.3157894736842106,1,22,0,"2019-10-22 03:00:00",0,0,0,0,0,0,7,3.8,36,20,8.6,8.5,8.8,0,0
1,1,0,4,1.1428571428571428,0.5,1,3,2,2,0,420,134.54545454545453,120,0,9,1.5681818181818181,1,0,22,8.045454545454545,7.5,0,320,116.58536585365853,100,0,3,1.170731707317073,1,0,14,7.428571428571429,7,1.5681818181818181,2.3793103448275863,3.1052631578947367,1,22,0,"2019-10-22 03:15:00",0,0,0,0,0,0,7,3.8,36,20,8.6,8.5,8.8,0,0
1,1,0,6,1.2142857142857142,1,1,3,1.5714285714285714,1,0,380,132.88888888888889,120,0,6,1.5333333333333334,1,0,21,7.777777777777778,7,0,340,115.71428571428571,110,0,5,1.4318181818181819,1,0,15,7.27906976744186,7,1.5333333333333334,2.4642857142857144,3.05,1,22,0,"2019-10-22 03:30:00",0,0,0,0,0,0,7,3.8,36,20,8.6,8.5,8.8,0,0
1,1,0,5,1.2857142857142858,1,1,4,1.8571428571428572,1,0,300,120.44444444444444,120,0,10,1.5333333333333334,1,0,19,7.844444444444444,8,0,280,107.61904761904762,100,0,5,1.3409090909090908,1,0,15,7.142857142857143,7,1.5333333333333334,2.3793103448275863,3.5,1,22,0,"2019-10-22 03:45:00",0,0,0,0,0,0,7,3.8,36,20,8.6,8.5,8.8,0,0
