index,cluster,num_cars_min,num_cars_max,num_cars_mean,num_cars_median,num_cars_min_woo,num_cars_max_woo,num_cars_mean_woo,num_cars_median_woo,int_min,int_max,int_mean,int_median,ocu_min,ocu_max,ocu_mean,ocu_median,car_min,car_max,car_mean,car_median,int_woo_min,int_woo_max,int_woo_mean,int_woo_median,ocu_woo_min,ocu_woo_max,ocu_woo_mean,ocu_woo_median,car_woo_min,car_woo_max,car_woo_mean,car_woo_median,dia_semana,dia_mes,festivo,fecha,eve_3h,eve_3h_g,eve_2h,eve_2h_g,eve_1h,eve_1h_g,vmax,vv,dv,dmax,ta,tamin,tamax,prec,gran_evento
0,1,0,11,4,2,1,8,4,2,0,1400,392.44444444444446,240,0,100,8.911111111111111,5,0,100,26.288888888888888,24,20,1020,350.27027027027026,240,1,22,7.228571428571429,6,7,47,25.153846153846153,24,6,27,0,"2019-10-27 00:00:00",0,0,0,0,0,0,5.6,2.7,49,51,14.1,13.7,14.2,0,0
1,2,0,3,2,3,999999,999999,999999,999999,0,780,217.75862068965517,200,0,4,0.5517241379310345,0,0,19,6.758620689655173,6,40,480,206.45833333333334,210,1,2,1.2857142857142858,1,3,16,6.695652173913044,6,6,27,0,"2019-10-27 00:00:00",0,0,0,0,0,0,0,0,0,360,9.2,9.2,9.8,0,0
2,3,0,4,1,0,1,3,2,2,0,420,144.48979591836735,120,0,45,2.3877551020408165,1,1,33,15.183673469387756,15,20,320,135.609756097561,120,1,5,1.6428571428571428,1,3,25,14.976190476190476,15,6,27,0,"2019-10-27 00:00:00",0,0,0,0,0,0,5.6,2.7,49,51,14.1,13.7,14.2,0,0
3,4,1,5,2,1,999999,999999,999999,999999,0,2280,445,96,0,72,4.413793103448276,1,0,73,17.79310344827586,10,40,1140,380.23809523809524,198,1,7,2.6,2,1,45,17.90909090909091,17.5,6,27,0,"2019-10-27 00:00:00",0,0,0,0,0,0,0,0,0,360,9.2,9.2,9.8,0,0
4,5,3,6,5,5,4,5,5,5,0,853,175.42857142857142,142,0,33,1.5873015873015872,1,0,50,7.73015873015873,6,42,474,162.26923076923077,155.5,1,3,1.3783783783783783,1,2,18,7.211538461538462,6,6,27,0,"2019-10-27 00:00:00",0,0,0,0,0,0,0,0,0,360,9.2,9.2,9.8,0,0
5,6,1,11,6,6,2,10,7,10,0,499,175.38095238095238,140,0,45,2.380952380952381,1,1,52,12.126984126984127,11,40,400,170.0952380952381,140,1,4,1.626865671641791,1,3,24,11.241071428571429,11,6,27,0,"2019-10-27 00:00:00",0,0,0,0,0,0,5.6,2.7,49,51,14.1,13.7,14.2,0,0
6,7,2,16,5,3,3,5,4,3,0,1140,348.22727272727275,260,0,58,5.651515151515151,3,0,60,18.53030303030303,17.5,36,940,314.64912280701753,260,1,22,3.767857142857143,3,7,36,17.87719298245614,18,6,27,0,"2019-10-27 00:00:00",0,0,0,0,0,0,5.6,2.7,49,51,14.1,13.7,14.2,0,0
7,8,0,1,0,0,999999,999999,999999,999999,0,2220,418.2857142857143,220,0,16,1.0952380952380953,1,0,64,13.485714285714286,10,20,1560,356.7741935483871,220,1,2,1.326086956521739,1,3,35,12.279569892473118,10,6,27,0,"2019-10-27 00:00:00",0,0,0,0,0,0,5.6,2.7,49,51,14.1,13.7,14.2,0,0
8,9,0,12,3,3,3,5,4,3,0,3480,677.5377358490566,420,0,63,5.10377358490566,2,0,70,21.57547169811321,14.5,40,2340,552.4886363636364,420,1,33,3.810810810810811,3,5,53,21.03370786516854,15,6,27,0,"2019-10-27 00:00:00",0,0,0,0,0,0,5.6,2.7,49,51,14.1,13.7,14.2,0,0
9,10,0,4,2,2,1,2,2,2,0,1640,298.5402298850575,180,0,20,2.5402298850574714,2,0,52,14.758620689655173,11,20,1100,252.97333333333333,180,1,8,2.8545454545454545,3,1,34,14,11,6,27,0,"2019-10-27 00:00:00",0,0,0,0,0,0,0,0,0,360,9.2,9.2,9.8,0,0
10,11,0,8,3,1,1,6,4,4,0,1740,301.1404958677686,180,0,100,3.0082644628099175,2,0,100,16.636363636363637,17,40,999,255.49532710280374,180,1,6,2.2777777777777777,2,4,29,15.80188679245283,17,6,27,0,"2019-10-27 00:00:00",0,0,0,0,0,0,5.6,2.7,49,51,14.1,13.7,14.2,0,0
11,12,0,7,2,2,1,2,2,2,0,1260,194,100,0,4,0.44,0,1,30,6.76,4,40,360,158.53658536585365,120,1,1,1,1,3,18,6.368421052631579,4,6,27,0,"2019-10-27 00:00:00",0,0,0,0,0,0,0,0,0,360,9.2,9.2,9.8,0,0
12,13,0,1,0,0,999999,999999,999999,999999,0,339,106.26666666666667,65,0,15,2.8333333333333335,1,0,28,9.5,7,27,225,103.38095238095238,85,1,7,2.8947368421052633,2,3,25,9.761904761904763,9,6,27,0,"2019-10-27 00:00:00",0,0,0,0,0,0,5.6,2.7,49,51,14.1,13.7,14.2,0,0
13,14,2,10,5,4,3,8,5,4,0,880,275.2173913043478,190,0,35,5.021739130434782,2,1,48,18.41304347826087,17.5,60,660,271.35135135135135,200,1,21,4.451612903225806,3,4,37,17.775,17.5,6,27,0,"2019-10-27 00:00:00",0,0,0,0,0,0,5.6,2.7,49,51,14.1,13.7,14.2,0,0
14,15,0,0,0,0,999999,999999,999999,999999,0,540,78.23008849557522,51,0,66,5.68141592920354,0,0,69,9.672566371681416,4,5,257,72.46913580246914,51,1,34,6.08,5,1,45,9.074074074074074,6,6,27,0,"2019-10-27 00:00:00",0,0,0,0,0,0,0,0,0,360,9.2,9.2,9.8,0,0
15,16,0,5,2,1,1,1,1,1,0,762,159.32,58,0,84,7.68,2,0,84,13.76,8.5,10,551,151.37142857142857,85,1,35,6.709677419354839,4,1,37,14.083333333333334,10.5,6,27,0,"2019-10-27 00:00:00",0,0,0,0,0,0,5.6,2.7,49,51,14.1,13.7,14.2,0,0
16,17,0,1,0,0,999999,999999,999999,999999,20,3000,543.4666666666667,240,0,94,3.2666666666666666,1,1,54,17.56,13,60,2220,538.5454545454545,320,1,5,2.4166666666666665,2,5,44,16.015151515151516,13,6,27,0,"2019-10-27 00:00:00",0,0,0,0,0,0,5.6,2.7,49,51,14.1,13.7,14.2,0,0
17,18,2,5,3,3,3,4,4,4,0,758,166.45977011494253,114,0,48,5.379310344827586,1,0,52,11.344827586206897,7,38,379,156.52857142857144,114,1,33,4.065573770491803,1,1,38,10.164383561643836,8,6,27,0,"2019-10-27 00:00:00",0,0,0,0,0,0,5.6,2.7,49,51,14.1,13.7,14.2,0,0
18,19,1,7,3,2,2,2,2,2,0,620,182.26415094339623,120,0,32,2.490566037735849,1,0,30,11.20754716981132,9,20,460,178.66666666666666,140,1,5,2.064516129032258,2,1,24,11.311111111111112,9,6,27,0,"2019-10-27 00:00:00",0,0,0,0,0,0,0,0,0,360,9.2,9.2,9.8,0,0
