index,cluster,num_cars_min,num_cars_max,num_cars_mean,num_cars_median,num_cars_min_woo,num_cars_max_woo,num_cars_mean_woo,num_cars_median_woo,int_min,int_max,int_mean,int_median,ocu_min,ocu_max,ocu_mean,ocu_median,car_min,car_max,car_mean,car_median,int_min_woo,int_max_woo,int_mean_woo,int_median_woo,ocu_min_woo,ocu_max_woo,ocu_mean_woo,ocu_median_woo,car_min_woo,car_max_woo,car_mean_woo,car_median_woo,ocu_mean_25,ocu_mean_50,ocu_mean_75,dia_semana,dia_mes,festivo,fecha,eve_3h,eve_3h_g,eve_2h,eve_2h_g,eve_1h,eve_1h_g,vmax,vv,dv,dmax,ta,tamin,tamax,prec,gran_evento
42,42,1,6,3,2.5,4,4,4,4,0,860,167.44827586206895,140,0,73,1.903448275862069,0,0,27,5.620689655172414,5,20,440,148.93939393939394,130,0,3,0.4892086330935252,0,1,14,5.132352941176471,5,1.903448275862069,1.903448275862069,5.111111111111111,1,22,0,"2019-10-22 00:00:00",0,0,0,0,0,0,0,0,0,360,6.6,5.2,6.6,0,0
42,42,1,3,1.75,1.5,2,2,2,2,0,640,146.66013071895424,100,0,98,2.2287581699346406,0,0,27,4.921568627450981,4,0,440,124.13793103448276,100,0,5,0.5379310344827586,0,0,13,4.219178082191781,3,2.2287581699346406,2.2287581699346406,5.879310344827586,1,22,0,"2019-10-22 00:15:00",0,0,0,0,0,0,0,0,0,360,6.6,5.2,6.6,0,0
41,42,1,2,1.5,1.5,999999,999999,999999,999999,0,560,135.2251655629139,100,0,25,0.9470198675496688,0,0,39,4.2052980132450335,3,0,340,120.97222222222223,100,0,2,0.3125,0,0,10,3.513888888888889,3,0.9470198675496688,0.9470198675496688,3.3255813953488373,1,22,0,"2019-10-22 00:30:00",0,0,0,0,0,0,0,0,0,360,6.6,5.2,6.6,0,0
41,42,2,2,2,2,999999,999999,999999,999999,0,520,101.41025641025641,80,0,20,0.5833333333333334,0,0,14,3.1025641025641026,2,0,300,89.73333333333333,60,0,1,0.09333333333333334,0,0,8,2.7114093959731544,2,0.5833333333333334,0.5833333333333334,0.5833333333333334,1,22,0,"2019-10-22 00:45:00",0,0,0,0,0,0,0,0,0,360,6.6,5.2,6.6,0,0
42,42,0,3,1.5,1.5,1,2,1.5,1.5,0,440,90.06622516556291,80,0,94,1.2450331125827814,0,0,19,2.80794701986755,2,0,260,84.86486486486487,80,0,2,0.136986301369863,0,0,8,2.3448275862068964,2,1.2450331125827814,1.2450331125827814,1.2450331125827814,1,22,0,"2019-10-22 01:00:00",0,0,0,0,0,0,0,0,0,360,8.1,6.5,8.4,0,0
42,42,1,3,2.5,3,999999,999999,999999,999999,0,300,82.5,70,0,36,0.6842105263157895,0,0,11,2.1776315789473686,2,0,220,74.06896551724138,60,0,2,0.16216216216216217,0,0,6,1.8551724137931034,2,0.6842105263157895,0.6842105263157895,0.6842105263157895,1,22,0,"2019-10-22 01:15:00",0,0,0,0,0,0,0,0,0,360,8.1,6.5,8.4,0,0
42,42,0,3,1.75,2,2,2,2,2,0,280,66.84563758389261,40,0,78,1.1879194630872483,0,0,31,2.228187919463087,2,0,180,57.5886524822695,40,0,1,0.0425531914893617,0,0,6,1.6830985915492958,2,1.1879194630872483,1.1879194630872483,1.1879194630872483,1,22,0,"2019-10-22 01:30:00",0,0,0,0,0,0,0,0,0,360,8.1,6.5,8.4,0,0
42,42,0,2,1.25,1.5,1,1,1,1,0,200,45.6,20,0,80,1.14,0,0,23,1.6,1,0,140,41.44329896907217,20,0,1,0.041237113402061855,0,0,7,1.2061855670103092,1,1.14,1.14,1.14,1,22,0,"2019-10-22 01:45:00",0,0,0,0,0,0,0,0,0,360,8.1,6.5,8.4,0,0
42,42,0,3,1,0.5,1,1,1,1,0,240,52.7891156462585,40,0,11,0.1292517006802721,0,0,9,1.0068027210884354,1,0,180,47.55244755244755,20,0,0,0,0,0,3,0.823943661971831,1,0.1292517006802721,0.1292517006802721,0.1292517006802721,1,22,0,"2019-10-22 02:00:00",0,0,0,0,0,0,0,0,0,360,7.6,7.5,8.1,0,0
42,42,0,1,0.25,0,999999,999999,999999,999999,0,200,42.567567567567565,20,0,43,0.6351351351351351,0,0,14,1.2635135135135136,1,0,140,39.02777777777778,20,0,1,0.04861111111111111,0,0,4,0.8785714285714286,1,0.6351351351351351,0.6351351351351351,0.6351351351351351,1,22,0,"2019-10-22 02:15:00",0,0,0,0,0,0,0,0,0,360,7.6,7.5,8.1,0,0
